Player,Team,Matches,Runs,Wickets,Strike Rate,Economy Rate,Catches,Stumpings,Player Role
Player_30,Mumbai Indians,43,70.0,71.0,166.51,6.75,35.0,14.0,Bowler
Player_31,Sunrisers Hyderabad,14,37.09,14.29,143.89,6.79,23.25,2.7,Batsman
Player_32,Royal Challengers Bangalore,26,1686.0,84.0,178.93,11.25,10.0,19.0,Bowler
Player_33,Punjab Kings,30,378.0,13.0,171.5,9.68,31.0,14.0,Bowler
Player_34,Sunrisers Hyderabad,12,692.99,45.2,130.66,6.37,20.63,13.09,All-Rounder
Player_35,Chennai Super Kings,18,1181.0,74.0,156.18,8.55,38.0,8.0,Wicket-Keeper
Player_36,Royal Challengers Bangalore,46,1463.0,37.0,91.24,9.43,39.0,6.0,Wicket-Keeper
Player_37,Rajasthan Royals,35,637.0,56.0,163.04,9.63,14.0,14.0,Bowler
Player_38,Delhi Capitals,36,740.0,14.0,117.68,11.19,17.0,15.0,All-Rounder
Player_39,Sunrisers Hyderabad,8,577.0,59.0,149.3,8.24,1.0,11.0,Bowler
Player_40,Rajasthan Royals,9,296.0,77.0,154.27,6.32,22.0,2.0,Bowler
Player_41,Delhi Capitals,31,506.0,46.0,93.0,11.62,19.0,16.0,Bowler
Player_42,Kolkata Knight Riders,46,1945.0,8.0,177.08,7.98,4.0,2.0,All-Rounder
Player_43,Royal Challengers Bangalore,5,1690.0,11.0,138.94,10.8,36.0,7.0,Wicket-Keeper
Player_44,Sunrisers Hyderabad,30,1220.0,88.0,138.61,7.97,7.0,14.0,All-Rounder
Player_45,Mumbai Indians,25,1620.0,45.0,132.11,9.31,3.0,0.0,Batsman
Player_46,Delhi Capitals,2,1610.0,59.0,121.63,8.74,2.0,8.0,All-Rounder
Player_47,Chennai Super Kings,14,347.0,11.0,91.34,7.36,8.0,16.0,All-Rounder
Player_48,Mumbai Indians,21,1082.0,21.0,171.47,5.47,9.0,6.0,All-Rounder
Player_49,Delhi Capitals,30,1595.0,36.0,134.94,11.35,7.0,2.0,All-Rounder
Player_50,Kolkata Knight Riders,26,747.0,21.0,134.36,5.11,22.0,16.0,Wicket-Keeper
Player_51,Mumbai Indians,36,1684.0,28.0,153.1,5.37,27.0,15.0,Batsman
Player_52,Delhi Capitals,8,1564.0,60.0,172.19,8.66,20.0,6.0,Wicket-Keeper
Player_53,Punjab Kings,37,1337.0,38.0,129.54,8.19,3.0,10.0,Wicket-Keeper
Player_54,Delhi Capitals,11,218.0,30.0,159.42,6.38,12.0,14.0,All-Rounder
Player_55,Kolkata Knight Riders,19,1513.0,22.0,91.09,10.58,27.0,5.0,Bowler
Player_56,Royal Challengers Bangalore,36,1946.0,0.0,96.92,9.97,0.0,7.0,Bowler
Player_57,Royal Challengers Bangalore,43,1521.0,30.0,133.36,9.34,15.0,1.0,Wicket-Keeper
Player_58,Rajasthan Royals,20,1640.0,74.0,165.32,10.93,1.0,1.0,Wicket-Keeper
Player_59,Punjab Kings,17,240.0,96.0,93.84,10.59,32.0,9.0,All-Rounder
Player_60,Kolkata Knight Riders,2,1249.0,50.0,118.68,6.65,38.0,18.0,Wicket-Keeper
Player_61,Kolkata Knight Riders,21,685.0,97.0,102.73,10.84,41.0,11.0,All-Rounder
Player_62,Royal Challengers Bangalore,16,932.0,86.0,82.17,8.24,17.0,3.0,Bowler
Player_63,Royal Challengers Bangalore,41,895.0,23.0,85.41,10.09,5.0,15.0,Bowler
Player_64,Punjab Kings,45,1415.13,3.72,144.99,10.45,23.39,4.19,Batsman
Player_65,Chennai Super Kings,12,1605.0,98.0,98.38,6.83,13.0,9.0,Bowler
Player_66,Chennai Super Kings,28,1772.0,59.0,84.62,5.51,46.0,2.0,Wicket-Keeper
Player_67,Sunrisers Hyderabad,21,1829.0,73.0,123.57,6.23,25.0,15.0,Bowler
Player_68,Rajasthan Royals,33,1872.0,66.0,100.76,9.71,22.0,15.0,All-Rounder
Player_69,Punjab Kings,33,1017.01,21.83,99.86,12.07,3.94,6.48,Bowler
Player_70,Mumbai Indians,45,1224.0,16.0,140.32,8.4,49.0,3.0,Batsman
Player_71,Sunrisers Hyderabad,46,77.74,6.86,145.75,9.34,43.32,0.98,Bowler
Player_72,Punjab Kings,26,497.0,51.0,90.12,6.49,45.0,12.0,All-Rounder
Player_73,Kolkata Knight Riders,12,331.0,55.0,155.22,11.87,15.0,14.0,All-Rounder
Player_74,Chennai Super Kings,13,107.02,41.95,126.55,5.48,24.04,18.41,Wicket-Keeper
Player_75,Sunrisers Hyderabad,38,789.0,46.0,113.97,9.93,29.0,3.0,Bowler
Player_76,Chennai Super Kings,19,304.0,78.0,142.78,9.39,7.0,10.0,All-Rounder
Player_77,Chennai Super Kings,39,1177.22,36.13,90.91,6.92,7.03,17.05,Batsman
Player_78,Delhi Capitals,5,554.96,50.21,121.76,7.36,13.97,5.68,Wicket-Keeper
Player_79,Punjab Kings,28,883.0,37.0,118.15,7.6,20.0,13.0,Batsman
Player_80,Royal Challengers Bangalore,38,1202.0,79.0,161.72,6.97,15.0,0.0,Bowler
Player_81,Rajasthan Royals,12,1854.0,11.0,132.19,10.04,33.0,19.0,Bowler
Player_82,Rajasthan Royals,4,322.0,94.0,81.8,9.22,31.0,4.0,Bowler
Player_83,Kolkata Knight Riders,23,1651.0,32.0,172.81,8.09,31.0,16.0,Wicket-Keeper
Player_84,Royal Challengers Bangalore,9,1771.0,52.0,142.42,6.2,35.0,4.0,All-Rounder
Player_85,Punjab Kings,7,246.44,4.98,159.24,5.95,1.02,9.34,Wicket-Keeper
Player_86,Chennai Super Kings,9,233.0,97.0,139.38,10.28,1.0,7.0,Batsman
Player_87,Mumbai Indians,38,1400.0,60.0,159.31,5.49,31.0,17.0,Wicket-Keeper
Player_88,Rajasthan Royals,26,1012.0,59.0,153.75,9.74,18.0,19.0,Batsman
Player_89,Mumbai Indians,25,772.0,53.0,86.3,11.24,46.0,4.0,Wicket-Keeper
Player_90,Chennai Super Kings,45,1964.0,85.0,156.87,7.05,22.0,12.0,All-Rounder
Player_91,Chennai Super Kings,31,132.0,96.0,84.8,5.0,15.0,2.0,Batsman
Player_92,Delhi Capitals,3,1754.0,86.0,176.82,8.12,13.0,13.0,Bowler
Player_93,Kolkata Knight Riders,29,142.0,16.0,102.7,10.27,15.0,12.0,Bowler
Player_94,Royal Challengers Bangalore,45,276.23,8.52,141.47,7.13,7.28,10.13,Wicket-Keeper
Player_95,Punjab Kings,4,369.0,28.0,133.22,5.05,30.0,2.0,Bowler
Player_96,Royal Challengers Bangalore,9,1242.0,5.0,97.3,10.2,23.0,7.0,Batsman
Player_97,Royal Challengers Bangalore,43,1626.0,31.0,105.3,6.13,31.0,2.0,Bowler
Player_98,Delhi Capitals,27,860.0,55.0,108.98,10.37,44.0,12.0,All-Rounder
Player_99,Sunrisers Hyderabad,21,1140.0,63.0,148.67,10.48,23.0,7.0,All-Rounder
Player_100,Royal Challengers Bangalore,25,1368.0,73.0,115.06,11.0,45.0,0.0,Wicket-Keeper
Player_101,Mumbai Indians,12,1239.0,27.0,162.56,10.92,38.0,10.0,Batsman
Player_102,Sunrisers Hyderabad,16,1466.71,22.2,176.32,5.2,7.48,0.91,All-Rounder
Player_103,Chennai Super Kings,21,148.0,0.0,96.02,9.93,32.0,13.0,All-Rounder
Player_104,Royal Challengers Bangalore,23,1388.0,50.0,112.89,11.11,28.0,6.0,Batsman
Player_105,Rajasthan Royals,37,73.67,34.23,115.82,8.95,11.01,1.01,Bowler
Player_106,Mumbai Indians,44,1669.0,71.0,134.24,10.82,19.0,3.0,Bowler
Player_107,Chennai Super Kings,18,1494.0,21.0,97.37,10.69,21.0,4.0,Wicket-Keeper
Player_108,Mumbai Indians,35,1702.0,73.0,168.03,9.36,49.0,15.0,Bowler
Player_109,Chennai Super Kings,37,26.0,53.0,163.6,11.66,13.0,7.0,Batsman
Player_110,Punjab Kings,44,75.0,54.0,83.93,6.97,40.0,14.0,All-Rounder
Player_111,Royal Challengers Bangalore,36,1991.0,4.0,127.72,8.14,27.0,10.0,Bowler
Player_112,Kolkata Knight Riders,12,251.0,77.0,123.25,9.21,31.0,3.0,Wicket-Keeper
Player_113,Chennai Super Kings,33,960.0,57.0,104.43,10.58,4.0,11.0,Bowler
Player_114,Delhi Capitals,41,1621.0,73.0,103.17,7.9,47.0,13.0,Batsman
Player_115,Rajasthan Royals,14,895.0,37.0,108.36,10.31,33.0,8.0,Wicket-Keeper
Player_116,Sunrisers Hyderabad,30,834.0,87.0,158.87,6.53,43.0,6.0,Bowler
Player_117,Chennai Super Kings,2,284.0,92.0,105.16,6.47,32.0,15.0,Wicket-Keeper
Player_118,Chennai Super Kings,27,727.0,91.0,115.44,6.42,13.0,18.0,Batsman
Player_119,Sunrisers Hyderabad,18,673.0,6.0,142.46,7.74,22.0,8.0,All-Rounder
Player_120,Sunrisers Hyderabad,8,1199.0,89.0,84.38,5.81,0.0,6.0,Batsman
Player_121,Royal Challengers Bangalore,46,486.0,12.0,119.28,10.05,12.0,5.0,Batsman
Player_122,Mumbai Indians,40,726.0,61.0,82.08,11.2,19.0,19.0,Batsman
Player_123,Chennai Super Kings,42,1340.0,92.0,103.64,11.66,25.0,10.0,Batsman
Player_124,Mumbai Indians,31,772.0,82.0,110.2,8.89,43.0,6.0,All-Rounder
Player_125,Royal Challengers Bangalore,44,857.68,17.3,120.33,6.06,24.9,17.26,All-Rounder
Player_126,Delhi Capitals,26,1771.0,18.0,120.62,6.42,46.0,15.0,Wicket-Keeper
Player_127,Rajasthan Royals,43,562.0,98.0,83.31,10.92,13.0,0.0,Bowler
Player_128,Kolkata Knight Riders,46,1657.0,86.0,110.11,11.03,23.0,15.0,All-Rounder
Player_129,Punjab Kings,42,1465.0,73.0,153.8,9.3,3.0,7.0,All-Rounder
Player_130,Chennai Super Kings,22,28.0,66.0,159.81,9.36,27.0,6.0,Bowler
Player_131,Mumbai Indians,47,322.0,59.0,118.72,7.0,41.0,14.0,All-Rounder
Player_132,Royal Challengers Bangalore,15,646.0,87.0,85.0,5.09,22.0,6.0,Batsman
Player_133,Mumbai Indians,24,173.0,59.0,172.84,7.46,46.0,2.0,Batsman
Player_134,Delhi Capitals,39,426.0,86.0,138.68,6.43,21.0,14.0,Bowler
Player_135,Delhi Capitals,7,1302.0,46.0,149.29,8.65,36.0,4.0,Wicket-Keeper
Player_136,Rajasthan Royals,3,155.0,17.0,163.91,10.97,11.0,17.0,Wicket-Keeper
Player_137,Punjab Kings,49,324.0,50.0,151.19,5.31,27.0,19.0,Bowler
Player_138,Rajasthan Royals,44,1899.0,49.0,148.2,9.3,15.0,9.0,Bowler
Player_139,Punjab Kings,9,983.0,52.0,173.49,11.28,31.0,16.0,Batsman
Player_140,Kolkata Knight Riders,1,842.0,99.0,122.12,9.14,27.0,19.0,Wicket-Keeper
Player_141,Delhi Capitals,22,1303.0,61.0,174.6,10.75,41.0,7.0,All-Rounder
Player_142,Sunrisers Hyderabad,13,166.0,33.0,131.54,6.17,29.0,2.0,Batsman
Player_143,Kolkata Knight Riders,23,621.0,86.0,116.18,6.27,7.0,5.0,Bowler
Player_144,Delhi Capitals,15,1019.0,68.0,169.94,6.46,19.0,9.0,Wicket-Keeper
Player_145,Chennai Super Kings,37,547.0,32.0,98.58,5.14,15.0,14.0,All-Rounder
Player_146,Mumbai Indians,2,1038.0,92.0,117.13,7.56,11.0,8.0,All-Rounder
Player_147,Punjab Kings,41,527.0,99.0,88.27,11.63,30.0,15.0,Batsman
Player_148,Punjab Kings,32,1403.0,74.0,135.52,10.92,14.0,7.0,Wicket-Keeper
Player_149,Chennai Super Kings,4,1204.0,29.0,158.07,10.45,19.0,1.0,Wicket-Keeper
Player_150,Chennai Super Kings,28,1495.0,27.0,84.53,6.94,47.0,9.0,Bowler
Player_151,Chennai Super Kings,17,785.0,18.0,96.9,8.72,36.0,0.0,Wicket-Keeper
Player_152,Royal Challengers Bangalore,12,621.0,88.0,132.59,7.12,20.0,2.0,Wicket-Keeper
Player_153,Royal Challengers Bangalore,46,443.0,67.0,150.51,5.27,48.0,3.0,Batsman
Player_154,Mumbai Indians,18,1497.0,63.0,140.73,10.62,15.0,8.0,Wicket-Keeper
Player_155,Chennai Super Kings,22,193.0,10.0,142.31,8.43,29.0,9.0,All-Rounder
Player_156,Delhi Capitals,29,1313.62,92.94,144.56,6.67,49.21,0.0,Batsman
Player_157,Delhi Capitals,49,845.0,4.0,137.64,8.19,24.0,1.0,Batsman
Player_158,Punjab Kings,3,1077.0,8.0,137.45,8.01,5.0,8.0,Bowler
Player_159,Rajasthan Royals,7,1833.0,0.0,173.64,11.05,0.0,5.0,Wicket-Keeper
Player_160,Chennai Super Kings,5,1459.0,10.0,177.53,11.52,9.0,1.0,Bowler
Player_161,Mumbai Indians,49,1503.0,49.0,146.1,11.89,29.0,17.0,All-Rounder
Player_162,Delhi Capitals,17,138.0,65.0,159.35,11.33,40.0,9.0,Batsman
Player_163,Delhi Capitals,42,1102.0,28.0,94.08,6.47,6.0,1.0,Batsman
Player_164,Chennai Super Kings,26,14.0,7.0,93.28,7.44,44.0,10.0,Batsman
Player_165,Delhi Capitals,37,87.0,70.0,93.19,7.35,17.0,16.0,All-Rounder
Player_166,Delhi Capitals,43,1849.0,76.0,86.86,6.29,45.0,6.0,All-Rounder
Player_167,Chennai Super Kings,2,1548.0,5.0,122.57,6.4,24.0,13.0,Bowler
Player_168,Royal Challengers Bangalore,32,51.0,40.0,134.41,9.53,6.0,14.0,Bowler
Player_169,Punjab Kings,31,1244.0,0.0,176.57,6.96,33.0,1.0,Bowler
Player_170,Delhi Capitals,36,1692.0,80.0,145.02,5.46,36.0,19.0,Wicket-Keeper
Player_171,Kolkata Knight Riders,17,2.0,18.0,134.72,9.28,15.0,6.0,Batsman
Player_172,Royal Challengers Bangalore,30,1376.0,93.0,127.54,6.26,44.0,19.0,Batsman
Player_173,Rajasthan Royals,15,1595.0,74.0,153.37,6.94,9.0,19.0,Bowler
Player_174,Kolkata Knight Riders,9,842.68,94.46,130.42,12.48,40.72,19.95,Batsman
Player_175,Sunrisers Hyderabad,8,1288.0,23.0,142.53,5.99,45.0,9.0,Bowler
Player_176,Kolkata Knight Riders,41,259.0,8.0,94.59,9.18,44.0,10.0,Wicket-Keeper
Player_177,Chennai Super Kings,8,1150.0,19.0,174.76,11.69,19.0,17.0,Wicket-Keeper
Player_178,Sunrisers Hyderabad,8,736.0,43.0,120.04,9.62,45.0,18.0,All-Rounder
Player_179,Delhi Capitals,18,1796.0,41.0,91.51,8.84,48.0,0.0,Wicket-Keeper
Player_180,Mumbai Indians,2,408.0,17.0,132.38,5.39,25.0,16.0,Bowler
Player_181,Royal Challengers Bangalore,24,462.0,19.0,142.7,8.38,20.0,1.0,Wicket-Keeper
Player_182,Kolkata Knight Riders,42,1927.0,92.0,147.06,6.67,20.0,19.0,All-Rounder
Player_183,Sunrisers Hyderabad,29,308.0,14.0,112.56,5.91,15.0,9.0,Batsman
Player_184,Delhi Capitals,14,890.0,11.0,131.19,9.24,46.0,18.0,Bowler
Player_185,Sunrisers Hyderabad,15,683.0,27.0,108.5,11.76,7.0,17.0,Batsman
Player_186,Chennai Super Kings,13,529.15,8.58,100.61,12.33,31.18,13.77,All-Rounder
Player_187,Chennai Super Kings,11,490.0,86.0,86.48,11.94,18.0,9.0,All-Rounder
Player_188,Mumbai Indians,30,570.0,48.0,129.9,5.26,20.0,6.0,All-Rounder
Player_189,Punjab Kings,23,1806.0,79.0,139.88,8.77,30.0,10.0,Batsman
Player_190,Sunrisers Hyderabad,49,1824.0,71.0,179.25,5.49,7.0,16.0,Batsman
Player_191,Kolkata Knight Riders,46,395.0,37.0,135.01,8.7,37.0,3.0,Batsman
Player_192,Mumbai Indians,44,1048.0,33.0,121.2,8.37,49.0,11.0,Batsman
Player_193,Mumbai Indians,25,171.0,57.0,174.84,10.29,15.0,1.0,All-Rounder
Player_194,Rajasthan Royals,29,821.0,44.0,94.46,11.03,11.0,11.0,All-Rounder
Player_195,Rajasthan Royals,48,1626.52,3.27,184.01,12.38,1.06,16.53,Bowler
Player_196,Punjab Kings,16,1049.0,26.0,159.37,7.03,24.0,15.0,Bowler
Player_197,Kolkata Knight Riders,12,1221.0,71.0,155.19,5.32,4.0,9.0,Batsman
Player_198,Sunrisers Hyderabad,10,1548.0,92.0,165.82,7.56,10.0,0.0,Wicket-Keeper
Player_199,Chennai Super Kings,42,1044.0,12.0,135.51,7.75,14.0,8.0,Wicket-Keeper
Player_200,Rajasthan Royals,6,1598.0,19.0,144.94,5.36,1.0,13.0,All-Rounder
Player_201,Mumbai Indians,34,324.0,69.0,137.2,9.69,39.0,6.0,All-Rounder
Player_202,Delhi Capitals,30,273.0,71.0,122.96,6.19,49.0,17.0,All-Rounder
Player_203,Delhi Capitals,39,1742.0,48.0,137.9,11.58,22.0,11.0,Bowler
Player_204,Mumbai Indians,28,422.0,70.0,85.52,10.54,35.0,12.0,Bowler
Player_205,Royal Challengers Bangalore,34,855.0,5.0,140.23,8.31,28.0,5.0,All-Rounder
Player_206,Mumbai Indians,22,512.0,67.0,123.35,5.23,40.0,11.0,All-Rounder
Player_207,Kolkata Knight Riders,46,1877.0,65.0,126.05,8.01,48.0,2.0,All-Rounder
Player_208,Rajasthan Royals,22,112.0,81.0,85.41,6.0,11.0,3.0,Wicket-Keeper
Player_209,Mumbai Indians,15,113.0,91.0,166.52,11.95,16.0,0.0,Bowler
Player_210,Kolkata Knight Riders,34,943.34,0.0,99.42,9.98,43.65,13.81,Wicket-Keeper
Player_211,Chennai Super Kings,25,1071.0,18.0,161.86,5.78,23.0,12.0,Wicket-Keeper
Player_212,Delhi Capitals,23,535.78,10.47,151.97,7.88,38.68,7.31,All-Rounder
Player_213,Kolkata Knight Riders,10,801.0,52.0,135.35,7.73,12.0,1.0,All-Rounder
Player_214,Punjab Kings,45,1793.0,15.0,98.35,10.39,7.0,8.0,Batsman
Player_215,Kolkata Knight Riders,9,105.0,5.0,112.9,7.55,17.0,4.0,Batsman
Player_216,Mumbai Indians,8,1183.0,91.0,113.2,9.53,28.0,7.0,Wicket-Keeper
Player_217,Sunrisers Hyderabad,18,711.0,19.0,134.11,8.62,22.0,16.0,Bowler
Player_218,Chennai Super Kings,3,98.0,67.0,129.83,10.29,21.0,18.0,All-Rounder
Player_219,Sunrisers Hyderabad,14,1960.0,86.0,84.35,6.53,42.0,18.0,All-Rounder
Player_220,Mumbai Indians,23,1999.0,46.0,115.46,10.64,45.0,7.0,Wicket-Keeper
Player_221,Rajasthan Royals,26,1971.0,77.0,177.33,10.87,31.0,18.0,Batsman
Player_222,Mumbai Indians,3,602.0,22.0,139.85,8.57,4.0,14.0,Bowler
Player_223,Sunrisers Hyderabad,37,1422.0,34.0,93.93,6.82,47.0,10.0,Batsman
Player_224,Delhi Capitals,42,141.0,94.0,173.85,11.05,3.0,2.0,Batsman
Player_225,Mumbai Indians,40,1895.0,83.0,161.19,11.17,25.0,9.0,Batsman
Player_226,Punjab Kings,5,1858.0,8.0,137.49,11.02,24.0,6.0,Batsman
Player_227,Kolkata Knight Riders,48,302.0,75.0,154.8,8.39,28.0,14.0,All-Rounder
Player_228,Kolkata Knight Riders,17,423.0,38.0,148.01,9.15,0.0,13.0,All-Rounder
Player_229,Royal Challengers Bangalore,4,370.0,60.0,136.1,7.3,15.0,1.0,Batsman
Player_230,Sunrisers Hyderabad,36,1580.0,24.0,173.85,9.67,7.0,5.0,Bowler
Player_231,Chennai Super Kings,19,1475.0,79.0,92.59,7.71,46.0,16.0,Wicket-Keeper
Player_232,Kolkata Knight Riders,18,1548.0,56.0,156.9,7.29,47.0,15.0,Bowler
Player_233,Rajasthan Royals,49,983.0,37.0,104.79,7.41,33.0,11.0,Bowler
Player_234,Sunrisers Hyderabad,8,1292.0,98.0,158.16,6.34,49.0,12.0,Bowler
Player_235,Chennai Super Kings,42,1712.0,6.0,131.51,7.6,37.0,11.0,Batsman
Player_236,Kolkata Knight Riders,2,1770.0,9.0,130.59,9.99,46.0,11.0,All-Rounder
Player_237,Rajasthan Royals,38,973.0,20.0,160.01,9.55,31.0,5.0,Bowler
Player_238,Royal Challengers Bangalore,39,1064.0,24.0,98.58,7.13,42.0,15.0,Batsman
Player_239,Royal Challengers Bangalore,11,243.0,36.0,106.26,6.12,21.0,3.0,Bowler
Player_240,Rajasthan Royals,13,103.0,68.0,123.17,9.83,35.0,18.0,Bowler
Player_241,Chennai Super Kings,21,639.0,27.0,129.12,11.44,23.0,14.0,Batsman
Player_242,Royal Challengers Bangalore,40,679.0,0.0,135.94,7.64,13.0,16.0,All-Rounder
Player_243,Royal Challengers Bangalore,15,1743.0,98.0,147.99,6.69,47.0,11.0,All-Rounder
Player_244,Kolkata Knight Riders,28,1355.0,50.0,137.37,8.76,23.0,3.0,Wicket-Keeper
Player_245,Chennai Super Kings,8,1299.0,63.0,178.55,9.51,45.0,7.0,Batsman
Player_246,Punjab Kings,46,1623.0,73.0,123.25,11.73,21.0,13.0,Wicket-Keeper
Player_247,Royal Challengers Bangalore,29,1946.0,33.0,159.33,10.9,0.0,16.0,Wicket-Keeper
Player_248,Sunrisers Hyderabad,8,784.0,14.0,156.75,5.67,45.0,7.0,Wicket-Keeper
Player_249,Sunrisers Hyderabad,4,1771.0,44.0,88.72,7.28,7.0,4.0,All-Rounder
Player_250,Mumbai Indians,36,179.0,36.0,93.33,7.2,41.0,11.0,Batsman
Player_251,Delhi Capitals,33,149.0,89.0,164.55,9.17,16.0,8.0,Wicket-Keeper
Player_252,Delhi Capitals,13,96.0,78.0,90.68,5.61,45.0,18.0,Batsman
Player_253,Sunrisers Hyderabad,16,1954.0,94.0,151.51,9.35,4.0,12.0,Batsman
Player_254,Royal Challengers Bangalore,21,1308.0,64.0,179.43,10.21,10.0,13.0,All-Rounder
Player_255,Punjab Kings,15,530.0,47.0,162.68,8.19,40.0,5.0,Wicket-Keeper
Player_256,Delhi Capitals,33,1572.0,52.0,150.18,9.29,2.0,1.0,Wicket-Keeper
Player_257,Chennai Super Kings,36,1329.0,0.0,86.6,8.8,15.0,7.0,Batsman
Player_258,Royal Challengers Bangalore,43,1456.0,60.0,160.18,11.49,21.0,15.0,Bowler
Player_259,Chennai Super Kings,45,1392.0,35.0,161.64,6.74,42.0,14.0,All-Rounder
Player_260,Rajasthan Royals,39,1026.0,42.0,106.63,6.27,41.0,19.0,All-Rounder
Player_261,Kolkata Knight Riders,1,118.0,46.0,107.64,9.62,20.0,1.0,All-Rounder
Player_262,Rajasthan Royals,2,1207.0,81.0,103.83,6.02,19.0,13.0,All-Rounder
Player_263,Kolkata Knight Riders,28,1998.0,45.0,139.83,10.62,34.0,18.0,Wicket-Keeper
Player_264,Mumbai Indians,12,1779.0,87.0,175.41,11.67,10.0,7.0,Wicket-Keeper
Player_265,Kolkata Knight Riders,38,1683.0,32.0,102.84,10.1,42.0,11.0,Bowler
Player_266,Delhi Capitals,13,1796.0,76.0,84.09,5.24,36.0,5.0,All-Rounder
Player_267,Royal Challengers Bangalore,44,1999.0,59.0,176.56,5.66,34.0,10.0,All-Rounder
Player_268,Chennai Super Kings,29,1690.0,26.0,104.44,9.91,9.0,15.0,Batsman
Player_269,Sunrisers Hyderabad,2,1403.0,30.0,151.63,7.77,7.0,5.0,Wicket-Keeper
Player_270,Chennai Super Kings,27,1730.0,27.0,122.8,7.07,36.0,19.0,All-Rounder
Player_271,Delhi Capitals,46,1020.0,68.0,170.31,11.85,6.0,4.0,Bowler
Player_272,Kolkata Knight Riders,38,610.0,42.0,120.69,8.62,38.0,12.0,Bowler
Player_273,Delhi Capitals,3,892.0,55.0,155.92,8.75,17.0,15.0,Wicket-Keeper
Player_274,Mumbai Indians,9,1710.0,52.0,150.41,5.17,39.0,10.0,Bowler
Player_275,Kolkata Knight Riders,22,169.0,92.0,169.52,9.24,9.0,13.0,Bowler
Player_276,Rajasthan Royals,18,301.0,58.0,164.93,9.97,33.0,12.0,Wicket-Keeper
Player_277,Kolkata Knight Riders,49,689.0,68.0,144.76,9.7,40.0,5.0,All-Rounder
Player_278,Chennai Super Kings,30,146.0,83.0,130.32,10.32,35.0,17.0,All-Rounder
Player_279,Chennai Super Kings,44,483.0,30.0,157.28,9.07,16.0,19.0,Bowler
Player_280,Punjab Kings,30,826.0,30.0,83.17,11.23,23.0,14.0,Bowler
Player_281,Delhi Capitals,1,807.03,4.61,93.64,10.14,38.96,8.06,All-Rounder
Player_282,Royal Challengers Bangalore,48,1224.0,80.0,119.61,11.9,17.0,15.0,Wicket-Keeper
Player_283,Punjab Kings,21,710.0,35.0,115.23,5.03,41.0,12.0,Bowler
Player_284,Kolkata Knight Riders,34,1796.0,81.0,159.93,5.25,12.0,4.0,Batsman
Player_285,Royal Challengers Bangalore,26,1828.0,62.0,85.44,9.88,42.0,8.0,Wicket-Keeper
